experiment,condition,split,model,metric,value,uncertainty_ci,unit,source_artifact,source_field,commit,notes
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,boundary_brier,0.051592689377131226,,probability_score,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.all.brier,b199374,lower is better
condition_a,oracle_structures_and_parameters,all,prior,boundary_brier,0.10834777857117713,,probability_score,results/mcmc_original/matched_condition_a/boundary_metrics.json,prior.all.brier,b199374,prior reference
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,boundary_brier_relative_reduction_vs_prior,0.5238232840811006,,fraction,results/mcmc_original/matched_condition_a/prior_vs_posterior.json,all.boundary_brier.relative_reduction,b199374,preregistered strong gate >= 0.40
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,boundary_nll,0.16624502759677987,,nats_per_gap,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.all.nll,b199374,
condition_a,oracle_structures_and_parameters,all,prior,boundary_nll,0.3629086303482923,,nats_per_gap,results/mcmc_original/matched_condition_a/boundary_metrics.json,prior.all.nll,b199374,
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,boundary_nll_relative_reduction_vs_prior,0.5419094127432835,,fraction,results/mcmc_original/matched_condition_a/prior_vs_posterior.json,all.boundary_nll.relative_reduction,b199374,
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,boundary_auroc,0.9560829047026905,,auroc,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.all.auroc,b199374,preregistered strong gate >= 0.85
condition_a,oracle_structures_and_parameters,heldout,exact_semi_markov_posterior,boundary_auroc,0.9659293535124301,,auroc,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.heldout.auroc,b199374,preregistered strong gate >= 0.80
condition_a,oracle_structures_and_parameters,train,exact_semi_markov_posterior,boundary_auroc,0.9515803706248763,,auroc,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.train.auroc,b199374,
condition_a,oracle_structures_and_parameters,all,prior,boundary_auroc,0.5787032981008365,,auroc,results/mcmc_original/matched_condition_a/boundary_metrics.json,prior.all.auroc,b199374,
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,boundary_auprc,0.7928530797371494,,auprc,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.all.auprc,b199374,base rate 640/5063
condition_a,oracle_structures_and_parameters,all,prior,boundary_auprc,0.1501104001129517,,auprc,results/mcmc_original/matched_condition_a/boundary_metrics.json,prior.all.auprc,b199374,
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,boundary_ece,0.008365688996015938,,calibration_error,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.all.ece,b199374,10 bins; preregistered strong gate <= 0.05
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,boundary_precision_at_0.5,0.781563126252505,,precision,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.all.threshold_0.5.precision,b199374,threshold fixed never tuned
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,boundary_recall_at_0.5,0.609375,,recall,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.all.threshold_0.5.recall,b199374,
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,boundary_f1_at_0.5,0.6848112379280069,,f1,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.all.threshold_0.5.f1,b199374,
condition_a,oracle_structures_and_parameters,heldout,exact_semi_markov_posterior,boundary_f1_at_0.5,0.7127071823204421,,f1,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.heldout.threshold_0.5.f1,b199374,
condition_a,oracle_structures_and_parameters,all,prior,boundary_f1_at_0.5,0.0,,f1,results/mcmc_original/matched_condition_a/boundary_metrics.json,prior.all.threshold_0.5.f1,b199374,prior never exceeds 0.5 so precision is NaN
condition_a,oracle_structures_and_parameters,J=24,exact_semi_markov_posterior,boundary_auroc,0.9729718543046357,,auroc,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.J=24.auroc,b199374,length-stratified
condition_a,oracle_structures_and_parameters,J=32,exact_semi_markov_posterior,boundary_auroc,0.9427746098439376,,auroc,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.J=32.auroc,b199374,length-stratified
condition_a,oracle_structures_and_parameters,J=40,exact_semi_markov_posterior,boundary_auroc,0.9566539578794481,,auroc,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.J=40.auroc,b199374,length-stratified
condition_a,oracle_structures_and_parameters,J=48,exact_semi_markov_posterior,boundary_auroc,0.9548641069887834,,auroc,results/mcmc_original/matched_condition_a/boundary_metrics.json,posterior.J=48.auroc,b199374,length-stratified
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,occurrence_modal_accuracy,0.8984254992319508,,accuracy,results/mcmc_original/matched_condition_a/label_metrics.json,posterior.all.modal_accuracy,b199374,preregistered strong gate >= 0.80
condition_a,oracle_structures_and_parameters,all,prior,occurrence_modal_accuracy,0.3838325652841782,,accuracy,results/mcmc_original/matched_condition_a/label_metrics.json,prior.all.modal_accuracy,b199374,
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,mean_posterior_prob_true_label,0.8543039847317346,,probability,results/mcmc_original/matched_condition_a/label_metrics.json,posterior.all.mean_posterior_prob_true_label,b199374,preregistered strong gate >= 0.70
condition_a,oracle_structures_and_parameters,all,prior,mean_posterior_prob_true_label,0.3394771437242977,,probability,results/mcmc_original/matched_condition_a/label_metrics.json,prior.all.mean_posterior_prob_true_label,b199374,
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,occurrence_nll_relative_reduction_vs_prior,0.7711407544920363,,fraction,results/mcmc_original/matched_condition_a/prior_vs_posterior.json,all.occurrence_nll.relative_reduction,b199374,
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,mean_per_trace_ari,0.7470713137246066,sd 0.19539261378481043,ari,results/mcmc_original/matched_condition_a/label_metrics.json,posterior.all.per_trace_ari.mean,b199374,n=145; preregistered strong gate >= 0.50
condition_a,oracle_structures_and_parameters,heldout,exact_semi_markov_posterior,mean_per_trace_ari,0.7542957524639323,sd 0.20774651285389917,ari,results/mcmc_original/matched_condition_a/label_metrics.json,posterior.heldout.per_trace_ari.mean,b199374,n=45
condition_a,oracle_structures_and_parameters,all,prior,mean_per_trace_ari,0.13062161860750338,sd 0.17210429598761554,ari,results/mcmc_original/matched_condition_a/label_metrics.json,prior.all.per_trace_ari.mean,b199374,
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,mean_per_trace_nmi,0.7659762136725261,sd 0.17167183356485585,nmi,results/mcmc_original/matched_condition_a/label_metrics.json,posterior.all.per_trace_nmi.mean,b199374,
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,map_segment_count_accuracy,0.7034482758620689,,accuracy,results/mcmc_original/matched_condition_a/segment_count_posteriors_summary.json,map_accuracy,b199374,preregistered strong gate >= 0.60
condition_a,oracle_structures_and_parameters,heldout,exact_semi_markov_posterior,map_segment_count_accuracy,0.7777777777777778,,accuracy,results/mcmc_original/matched_condition_a/segment_count_posteriors_summary.json,map_accuracy_heldout,b199374,
condition_a,oracle_structures_and_parameters,train,exact_semi_markov_posterior,map_segment_count_accuracy,0.67,,accuracy,results/mcmc_original/matched_condition_a/segment_count_posteriors_summary.json,map_accuracy_train,b199374,
condition_a,oracle_structures_and_parameters,all,exact_semi_markov_posterior,mean_abs_error_expected_L,0.4392165336849849,sd 0.443433331141714,segments,results/mcmc_original/matched_condition_a/segment_count_posteriors_summary.json,posterior_mean_abs_error.mean,b199374,
